Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
rw_get_speed,'',gssb_get_temp,'',com_update_status,'l&izq6p(A 4)sX+N6 ^uNGQV ]Q u{&\ @vp]2@c U< cE ZuIy!$VK xq',gssb_get_model,'peKN-`   DeZO +h +Pv:J=Q 58- :jw ):a>&kKk',com_set_config,"'e MYl""< x""jPV ^ir 11@v)d*< ;]> =[W2>+'",0,7.416743278503418,444020.0,10748.0
obc_get_tle,'',gssb_set_burn_config,'(Op6 [*..\* ew$n+M jI \.N{T/V/Y',obc_update_status,'bB H=c J(Pg \#-Ny|Akg',tm_send_all,'j4E@8&W8Y uP7CkZFb  m*^SF i8i*DiY1 +n-} ptK/nv0]d( qbQj )o uOw% 6RaB',com_send_tc,'',0,7.16257905960083,444020.0,10732.0
drp_get_vars,"'?a!; uN|+\VQAW  ,  G.)W5FP{'",com_set_config,'0R-8*3A1`{',eps_set_heater,"'^H 2d""d'Gv G0P3(c'",tm_set_ack,'ISM vZ',gssb_get_status,'OCP2 A21',0,6.9540369510650635,444020.0,10992.0
gssb_pwr,'3mE#]_  kb<g',gssb_fss_set_config,'M95 af d',com_get_config,"'QR 2,Pc7_w9 x,//uTyJ` Sy!.: +Jf7 .-W3 wSg  $tUz@`6]s"" {{p:I{8k#k O'z[F1ow)9'",drp_test_system_vars,'3M|I^qo6*',eps_update_status,'j( M J)F5{C ZY9FzbqFi 8M xc;^wIX/ 1 L2:fEH k@&[ta)T',0,10.414237976074219,444020.0,10960.0
fp_reset,"'d?:l;0 {R; #E &+82c} -(T{XG 4x n_F ,z;'^p[5M {wr[_[=' _T^""D5X7u% j'",help,'sk!eIS n#_m'H  -KhkWh`< 5',eps_hard_reset,"'U]4@Z"" BAt-YJ*'",obc_get_tle,'kYU(5_$ [f ;E-T;wJv `/pIh3cqC* }c ZBI;2 $zS|j0+ ?AxY3:XX [-6 f2d',com_debug,' 'bUz=Y;-6',0,7.078961133956909,444020.0,10732.0
obc_pwm_pwr,"'KiXmaE'Z x jM@: 9,@J?^$C <](.9|I=fm Cr6!%. b=nV|f C$ )5uQt?1op'",drp_set_deployed,' {'G$06} &o?Y%W X5ok#Nm%6 kdE 9)STjJ:+6 u%hy*E',obc_pwm_pwr,' \{w# {# '0/v @G0wf',gssb_set_addr,' +fxOB N0_`F  rWPnL sz]EO0DKn  c}<}Jg=`6 _Nad-b%',com_send_rpt,'',0,6.896719694137573,444020.0,10688.0
gssb_fss_get_temp,';jK]D',gssb_get_temp_int,"'K scLubbiv :K Kt.Q]&RNq} `%j O$C ,rqK;o56v ;'",com_get_config,'4)TCW&mFD1',obc_update_status,"'y%2o,)'",gssb_set_addr,"'%x .# tP,br'",0,7.006473541259766,444020.0,10712.0
gssb_get_temp_int,'$ i_2 1S sq1ER [ NAEqTUZV',obc_update_tle,'M!',com_send_tc,"'|E ErF2- /O""T-'",eps_set_heater,"'04H(l >6G h}Y ITZ+|-o5 -GPh iH0?1<6X v;?'5XT""'",com_send_tc,'_I3U B68<{ r!bfYm( 'm?H3L9.u; ;Z8;T:+2 -L6Fqx',0,7.1007678508758545,444020.0,10592.0
drp_test_system_vars,"'na  .D  1HfT0{i ""Hmc'",com_send_data,"' _]n XD3g b,b '",obc_set_pwm_duty,' ^J}',gssb_get_version,'O [:&d',com_update_status,'[w7+kOlv m#xSd wCOmL  y1?)',0,10.775859117507935,444020.0,10884.0
eps_get_config,"'x9Pogon5Q) \0t zViIe$x Gu@o*s9 V'""7 Q (o2^)CLAv, b9ZNr6Pa xb$-/UY/4k W]\]['",obc_get_mem,"'\6DinjlSh A""-asK?=4 ?0zvd ohx87z^' t: x'",com_get_node,'15 !S ^XmBCA    \^-|h',gssb_get_temp_int,"'}^\MPP!E A3z ^R 6Cw%zMhPO ^+!5*$:OA +b/"";CIY94  [1P! !M7#4=2'",obc_debug,'WBUvzNkijq',0,6.9348626136779785,444020.0,10720.0
