Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
gssb_fss_get_temp,'',tm_send_from,'6810126351736740050 -5182805969753111744 -657856870',tm_send_from,'6663303931797017045 2466698602702466932 -295289055359168272376600008730830227440',fp_show,'',gssb_get_temp_int,'',0,6.987204074859619,444020.0,10672.0
drp_clear_gnd_wdt,'',rw_get_current,'',gssb_scan,'-48945456 16089253932364092809',fp_del_cmd,"'26580043053554968789895760963306665748 -6093634282484598564 -163354374881326361852640425093137308067 -163630933484220647584004363313819400351 203346761360589479350309441171582615133 ,//uTyJ`OS'",com_ping,'-1294974383',0,9.419194221496582,444020.0,10648.0
com_set_config,'-5946894430532492321 -',gssb_arm_auto,'133533341966866645922580321219672973359',obc_update_status,'',com_ping,'-1105176285',eps_hard_reset,'',0,9.266414642333984,444020.0,10804.0
gssb_antenna_release,'886392005 #kwO'z[F1 288175500162163030044610418032623264370 -6361406980489063127',init_dummy_sensor,'',drp_clear_gnd_wdt,'',gssb_get_uuid,'',gssb_fss_commit_config,'',0,6.943603754043579,444020.0,10940.0
obc_ident,'',tm_parse_status,'',set_state,'19499110489790946647741232209164487505 -1814730972 303094139388816121899024409908925755340',com_reset_wdt,'3768577465243016962',set_state,'16278014215278766556 14415357309007624968 -192677896613588621961706832433331934152',0,6.919420003890991,444020.0,10628.0
help,'',drp_set_var,'15321249487964917531 -8458565209748744514',tm_send_last,'AWd?:l 1450026167',drp_get_vars,'',eps_set_heater,'3428021141323497055 -21050543273771056554456318764835361171',0,6.992412805557251,444020.0,10892.0
com_set_config,'-95149251350300851418084795883540539575 -321102801870344834028354660255003755461',gssb_arm_manual,'1996082886290767461',gssb_fss_get_sun,'',rw_get_current,'',com_update_status,'',0,6.934557199478149,444020.0,10812.0
fp_set_cmd,"'-1187295301 12589355829505121152 ^""D5X7 10544161831944075512 142136886521987640386873717133615458550 1495475872283894058 ISTn#_m' 5640423474110726764 1805579273990144851 10798129327421558857'",obc_get_tle,'',obc_get_mem,'',fp_set_cmd_unix,'-398532880 -335918416655307340856488838247429625399 -307517450636530074924267479361976953650 25556934518967932198408969473666029298 18329611353857941813',com_get_node,'',-6,6.500492572784424,444020.0,10920.0
drp_set_deployed,'15874160036454074907',obc_get_sensors,'',obc_update_status,'',fp_set_cmd,'6878278321506618465 1937142488 9532096359366955061 107972268190486662047459983920113388924 -6510339003360181664 7967005234562148723 -1199171453 6 -6343075317664271514 'bUz=Y;-6',obc_pwm_pwr,'KiXmaE'Z',-11,6.65424656867981,444020.0,10956.0
com_reset_wdt,'-7509445377866268322',gssb_set_addr,'-119657235362781834520877257366326626274',gssb_antenna_release,'1373155933 -372738520 -329340690467718264334467506726797871521 7967032721298693083',rw_set_speed,'17336974956955936435 p5`'[{'G$',drp_get_vars,'',0,6.935006856918335,444020.0,10692.0
