Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
fp_test_params,'739347562 HZq>#r 1949311117',gssb_get_sun,'',gssb_fss_commit_config,'',gssb_select,'-1139302438',obc_get_sensors,'',obc_set_pwm_duty,'-676620653 -97484498',obc_get_sensors,'',fp_del_cmd,'93549098 816016038 -1896886167 2023553415 -551528608 808164721',obc_get_tle,'',drp_get_vars,'',-6,6.750001907348633,444020.0,10752.0
fp_set_cmd_dt,"'59957605 -1929286251 1233634729 Va!L/z e'""86'",set_state,'2257732004094583588 15368835203435035081 -832273886',drp_add_hrs_alive,'-1343538462',eps_get_config,'',tm_send_last,'10703397654043006735 1982136333198090075',obc_reset_wdt,'',com_set_config,'BmZF0Q[sy QB\8',gssb_get_status,'',gssb_msp_get_temp,'',drp_test_system_vars,'',-6,6.266655683517456,444020.0,10584.0
rw_get_speed,'',eps_get_config,'',eps_update_status,'',drp_ebf,'1890376597',com_update_status,'',gssb_get_version,'',tm_send_all,'11149339685760000741 1150576653333958838',eps_set_heater,'-930317398 -1081654893',tm_send_all,'18094457081335670850 12856354708804745643',gssb_fss_commit_config,'',0,7.316399335861206,444020.0,10600.0
gssb_antenna_release,'-260634416 -646805679 205973375 -1494736959',init_dummy_sensor,'',obc_pwm_pwr,'2100524168',gssb_unlock_config,'-943841200',obc_ident,'',com_get_node,'',com_debug,'',drp_get_vars,'',obc_get_sensors,'',rw_set_speed,'-501113440 -112429621',0,7.256747245788574,444020.0,10596.0
obc_set_pwm_freq,'-533526147 957746317809895598073312336944295734',eps_get_hk,'',gssb_msp_get_temp,'',tm_send_status,'1636820629',obc_get_mem,'',fp_test_params,'1744318952 - -207224483',drp_test_system_vars,'',gssb_fss_set_config,'1330695897',obc_set_pwm_freq,'1152707330 44349510049025103722142332223627344822',gssb_reset,'',-6,6.473441123962402,444020.0,10884.0
gssb_unlock_config,'135772716',gssb_commit_addr,'',obc_get_sensors,'',test,'v2',help,'',obc_debug,'-9127467',gssb_fss_commit_config,'',gssb_get_sun,'',obc_get_time,'-1742918412',gssb_update_status,'',0,7.448359489440918,444020.0,10616.0
gssb_get_sun,'',fp_show,'',set_state,'18362645510349328544 5826580033886310416 864534270',gssb_msp_get_temp,'',gssb_msp_get_temp,'',gssb_get_model,'',eps_get_config,'',obc_set_pwm_duty,'-1684160719 -375030959',com_update_status,'',gssb_reset,'',0,7.247565984725952,444020.0,10592.0
obc_ident,'',fp_del_cmd_unix,'-465748499',obc_update_status,'',gssb_get_temp,'',gssb_select,'1181359983',gssb_unlock_config,'1070209335',com_debug,'',gssb_get_sun,'',fp_test_params,'679728457 ; 1947695640',rw_get_current,'',-6,6.263082265853882,444020.0,10832.0
obc_get_tle,'',gssb_arm_auto,'-943532847',fp_set_cmd,'-64629967 643568744 -1536096681 -2042734780 1026683867 -2122250311 -1876629423 1847152969 ;alt$I\ xJP*sIX',com_reset_wdt,'-1053001498',gssb_get_version,'',com_reset_wdt,'743643235',gssb_reset,'',obc_reset_wdt,'',com_send_cmd,'1567013062 !Oy-',com_send_tc,'-651485588 k',-6,6.3901872634887695,444020.0,10564.0
obc_debug,'113905437',obc_get_mem,'',eps_get_hk,'',gssb_set_burn_config,'1898517690 1599482014 1645333745 -61950701 1749837526 105806982 310010912',gssb_unlock_config,'1773703627',fp_reset,'',drp_get_vars,'',obc_set_pwm_duty,'1714538936 1062588596',obc_get_time,'1538726826',fp_set_cmd,'-1911022813 1845812963 -286196702 905930081 -1308655552 -1597923477 529232132 -746025033 *;N>\+SP.y ',-11,6.867763996124268,444020.0,10724.0
gssb_antenna_release,'529931168 1378139046 -1459965575 -1307982245',drp_set_deployed,'1679376590',fp_set_cmd_unix,'1743886143 1992638361 -102286052 _gGrq63 Rn~%EFi%\7',gssb_fss_commit_config,'',gssb_arm_auto,'156222938',drp_add_hrs_alive,'-837100794',obc_get_time,'-1237112005',gssb_msp_cal_temp,'-1828595859 1576965100',fp_reset,'',com_send_data,'qA0@.[r@S!',-11,6.45026159286499,444020.0,10872.0
gssb_arm_auto,'1914952925',gssb_scan,'-766573308 -272152437',com_debug,'',obc_get_tle,'',gssb_burn,'',gssb_unlock_config,'-872068280',rw_set_speed,'1909118474 -1181457951',gssb_msp_cal_temp,'183712843 -1041787693',com_send_data,"'6|""+;$S!:f'",gssb_fss_get_temp,'',0,7.600536584854126,444020.0,10724.0
obc_prop_tle,'-2694120580186797593',com_reset_wdt,'561490671',com_send_cmd,"'1832146780 ""=)m;F5_JZ'",eps_get_config,'',drp_get_vars,'',obc_update_tle,'',gssb_unlock_config,'-1825118521',gssb_get_uuid,'',gssb_get_temp_int,'',obc_update_tle,'',0,7.452752351760864,444020.0,10728.0
gssb_fss_get_temp,'',gssb_select,'-735812019',obc_get_time,'987919353',init_dummy_sensor,'',drp_clear_gnd_wdt,'',com_debug,'',obc_get_sensors,'',gssb_fss_commit_config,'',eps_get_config,'',gssb_fss_set_config,'1090986417',0,8.024870872497559,444020.0,10844.0
fp_set_cmd_unix,'1603570938 -1181371302 2062818504 Ki{NH8Y13; ^XVgAq|]',com_set_config,'Vi6z ',gssb_msp_cal_temp,'-1445896645 2112366927',gssb_get_uuid,'',tm_send_status,'-1493354479',gssb_arm_manual,'-147124876',gssb_fss_set_config,'552703049',com_get_node,'',eps_get_config,'',gssb_get_version,'',-6,6.338379859924316,444020.0,10744.0
tm_send_last,'7347181980974107659 1247981829827226664',gssb_commit_addr,'',gssb_arm_auto,'-446220051',fp_test_params,'-948925308 pw@wT]-/ 159405076',gssb_reset,'',gssb_select,'1471436016',drp_add_hrs_alive,'-910068265',set_state,'9901447361463283859 14954187068700660174 309072317',gssb_fss_get_sun,'',obc_update_tle,'',0,7.412289381027222,444020.0,10908.0
gssb_set_burn_config,'-752969018 -1826447148 -655344156 881850532 -61465395 -429245974 1315851669',obc_set_pwm_freq,'-190154202 -129667132525199013634487661704474596141',tm_set_ack,'6944329783508172130 5309976948170852892',init_dummy_sensor,'',com_ping,'-804073939',obc_prop_tle,'2337996126978431344',tm_parse_status,'',obc_get_mem,'',tm_parse_status,'',com_update_status,'',0,9.36491060256958,444020.0,10892.0
tm_send_last,'9822572679374453839 1957026990887412825',fp_set_cmd,"'-1339836454 -881848444 -1604212485 -843411403 444568179 -619559519 23687468 -446197365 a'""2G '",gssb_select,'-1804774256',com_debug,'',gssb_burn,'',fp_show,'',tm_send_last,'6024211268755318577 9578164621386964824',obc_get_sensors,'',eps_hard_reset,'',test,'AOu=',-6,6.27577018737793,444020.0,10564.0
gssb_get_temp,'',set_state,'814461202654551261 4769638267988409732 -1687035951',com_debug,'',gssb_update_status,'',gssb_msp_cal_temp,'1826191385 1911280138',gssb_fss_commit_config,'',set_state,'12544814481230655784 5662478528176434134 1486033118',drp_clear_gnd_wdt,'',gssb_msp_cal_temp,'-1809854352 -192647175',tm_parse_status,'',0,7.372908592224121,444020.0,10656.0
obc_get_mem,'',gssb_update_status,'',gssb_unlock_config,'1594493740',com_update_status,'',tm_parse_status,'',obc_get_mem,'',gssb_get_sun,'',tm_send_last,'7602900843820889006 12231130318302762459',obc_get_sensors,'',gssb_get_version,'',0,7.444160223007202,444020.0,10840.0
gssb_get_uuid,'',drp_set_deployed,'-391775651',obc_reset_wdt,'',obc_set_pwm_freq,'1537302489 73121176790392016687527144510788859200',gssb_msp_cal_temp,'-94593902 -1989293962',obc_set_pwm_freq,'1769209577 15505802377202889993750566471943998361',com_get_node,'',com_update_status,'',gssb_msp_cal_temp,'1629529864 -1678889519',gssb_get_sun,'',0,7.515249729156494,444020.0,10848.0
obc_update_status,'',rw_set_speed,'-601694707 502210420',com_set_node,'1379060085',gssb_get_model,'',tm_set_ack,'80256177583698905 13606049102716539029',com_ping,'1990597363',tm_get_last,'10047251588751756057',drp_test_system_vars,'',fp_reset,'',drp_add_hrs_alive,'-264018789',0,12.908864498138428,444020.0,10860.0
gssb_fss_commit_config,'',gssb_update_status,'',fp_show,'',com_update_status,'',drp_add_hrs_alive,'-1744727765',gssb_arm_auto,'-726547840',com_debug,'',gssb_fss_commit_config,'',set_state,'12174757158207978484 5379042305898669642 1591231187',gssb_msp_get_temp,'',0,7.339441299438477,444020.0,10748.0
gssb_pwr,'809361004 1075789983',com_send_cmd,'1341585580 /5xM',tm_set_ack,'1193458691573157707 8969171627711807035',tm_set_ack,'11903414228572337089 3262730990751461328',com_set_node,'1759204649',obc_update_status,'',gssb_fss_set_config,'1611106192',gssb_antenna_release,'-1857261631 677876400 1405899159 247960866',drp_set_var,'-295250748 1031005051',gssb_select,'616293316',0,7.263698101043701,444020.0,10488.0
obc_set_tle,'2069585861 [>m6-fo',rw_set_speed,'-1872063916 426286904',obc_set_tle,'1541258689 `_Gcw',drp_test_system_vars,'',gssb_arm_auto,'1350907616',fp_set_cmd,"'1610708493 -794832219 -1716643911 728526746 -122210174 -868835660 882190998 -279128656 ?d,vp9Gl b'",gssb_commit_addr,'',drp_add_hrs_alive,'-724527064',gssb_set_burn_config,'-591700806 1719226186 -1499675016 -367092068 2062074778 -308547966 177314639',drp_clear_gnd_wdt,'',-6,9.956995725631714,444020.0,10720.0
obc_update_status,'',tm_send_status,'-602034653',gssb_arm_manual,'-1396824896',gssb_burn,'',com_update_status,'',init_dummy_sensor,'',gssb_get_uuid,'',tm_send_all,'7314757720820259546 6251020468350130824',fp_reset,'',gssb_get_sun,'',-6,6.417137384414673,444020.0,10592.0
gssb_fss_get_sun,'',rw_get_speed,'',gssb_get_version,'',com_update_status,'',gssb_commit_addr,'',gssb_antenna_release,'-380304907 643223201 354039044 -1666704680',obc_update_status,'',obc_reset_wdt,'',tm_send_from,'15597954325560976964 6613977481500404774 18206676138981024574',obc_ident,'',0,7.23162317276001,444020.0,10844.0
obc_update_status,'',fp_set_cmd_dt,'-2070358748 507883634 -375035298 :BKx{x F',rw_get_current,'',rw_set_speed,'-2046312675 1961290340',gssb_burn,'',gssb_fss_get_sun,'',com_debug,'',gssb_get_temp,'',gssb_set_burn_config,'-1861526800 -1035061240 -1034380295 -1676303377 -1687366927 265787891 1341631782',gssb_get_sun,'',-6,6.320539951324463,444020.0,10608.0
obc_get_sensors,'',rw_get_current,'',com_send_cmd,'294089041 UA',obc_reset_wdt,'',fp_del_cmd,'-647529629 1285990247 888508719 773925754 -752491313 300877012',gssb_get_uuid,'',rw_get_current,'',tm_send_from,'7536708696634790554 9195509970525825161 11088881990496278718',gssb_select,'930342032',rw_set_speed,'521196362 1102988344',-11,7.7004172801971436,444020.0,10628.0
gssb_fss_get_sun,'',help,'',fp_set_cmd_dt,'-710498091 1957692667 1811065462 V /nwWo\',gssb_get_model,'',gssb_get_sun,'',gssb_set_burn_config,'-561452567 -806963972 -639732749 -654257723 530946596 1013730361 -2039734530',com_reset_wdt,'63767549',com_get_node,'',gssb_reset,'',drp_set_deployed,'1059679812',-6,6.508664608001709,444020.0,10708.0
