Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Exit Code,Total Time
fp_del_cmd_unix,'-875227033',obc_pwm_pwr,'0;6+g',eps_update_status,'',gssb_arm_auto,'5024213319085452354',gssb_set_addr,'-3129985185520482336',-6,6.405529975891112
obc_get_sensors,'',com_get_node,'',tm_parse_status,'',fp_del_cmd_unix,'607900342727222324',eps_get_hk,'',-6,6.625507593154907
gssb_burn,'',gssb_set_addr,'4272751283216131373',fp_del_cmd_unix,'-250275055092295781153488060537191720463',com_send_cmd,'209078331 -113697321013924590874821613686326974752',com_update_status,'',-6,6.41751503944397
obc_get_mem,'',gssb_fss_set_config,'LJeOel',com_set_config,'-6128002171687322555 719807969',gssb_commit_addr,'',fp_set_cmd_unix,'816490329600841707 6705775523668782281 174144767179042198029711128660274417640 -1804597510 231750038',-6,6.533393621444702
gssb_get_version,'',eps_get_hk,'',gssb_get_status,'',com_send_cmd,'6784329358942947906 1778994682',tm_send_status,'5148464708459674475',-6,7.490493297576903
gssb_get_sun,'',drp_add_hrs_alive,'137742535962092154200771203457608302611',fp_reset,'',com_send_tc,'890888634 -1178647507',tm_send_from,'9619971512460233146 2288076406263908469 3375245579621455219',-6,7.510923862457275
drp_set_deployed,'',gssb_commit_addr,'',obc_prop_tle,'-344113505',gssb_get_status,'',gssb_get_burn_config,'',-11,6.363351583480835
test,'9370230117006816356',obc_pwm_pwr,'9240622581836694895',rw_get_current,'',test,'-14866391793923314445325686382133879376',fp_set_cmd_dt,'-891254875 -9991825461235154553137506751253352457 1990888271 1410914434 3013862829437259913',-6,6.664001703262329
gssb_fss_commit_config,'',obc_set_pwm_freq,'-8202113705442488686 17033809334992312420',obc_get_mem,'',tm_send_status,'1417368354',set_state,'7058904994600073662 $% -286071494430691789730366581079670831509',-6,6.550962209701537
fp_del_cmd_unix,'-129150467271936254262285102801031915895',drp_ebf,'257071249929853694959916838733189125092',com_ping,'163740539762614702073007712753021944629',tm_parse_status,'',gssb_get_sun,'',-6,7.76429009437561
tm_parse_status,'',com_debug,'',com_reset_wdt,'P@',com_debug,'',fp_del_cmd,'14681539565282205055 -283067242999247448266217445273950080180 1304362405 16233134870277323140 180210585745920894856502062106207487650 -921603683',-11,6.655131340026856
gssb_antenna_release,'-3751805437307775034 281516648868381139167255596884033141098 3067631955072582883 1104514632',tm_send_status,'3319010589070697090',obc_set_pwm_freq,'94 1792194636',drp_test_system_vars,'',com_reset_wdt,'-1106785185',-6,6.7712562084198
fp_set_cmd_dt,'445596148 1819031985 16206390935417295874 81260843 -636414528',help,'',gssb_fss_set_config,'2',tm_set_ack,'> zfT)}o>',gssb_get_sun,'',-6,6.354828834533691
com_set_node,'7313211282708091353',fp_set_cmd_dt,'12666209804705311912 145976307728262540076430708580811380065 9025427232063795533 1559733481823764924 1356772991',obc_debug,'-5689442019232728964',gssb_reset,'',com_send_cmd,'-1165814544 !hjHCZ8Xm\',-6,6.314654588699341
drp_add_hrs_alive,'1845795927',eps_set_heater,'4833028336034445380 h~DZ}w',gssb_get_burn_config,'',com_send_tc,'-1533442125 -1658504412',gssb_get_sun,'',-6,7.558412551879883
drp_set_var,'4522071124563708232 191369271131821437326123317773384627587',fp_set_cmd_dt,'1203282424313904205 -2321028214455963432 9509635899234286137 N.GfBl}^ 296930280940320502957004556325536429914',com_update_status,'',fp_set_cmd_unix,'[bSzy7T^T R+[_Qx -60361031 -1794959589 !|p^!`U',eps_update_status,'',-6,6.3542444705963135
fp_set_cmd_dt,"'467747201 16606498818066935197 1164354468932661621 17366357618770894061 n,IS8Jh'",gssb_burn,'',fp_reset,'',obc_debug,'6548772538989335738',com_get_node,'',-6,6.331451892852782
drp_add_hrs_alive,'YC1qW/9m}',fp_set_cmd_unix,'-2623417297055112764 1754812176644425662 1778655619 -46398783764033711245900976479038445671 -234926161324530920795339706609565779027',fp_del_cmd,'-1282183381 694584472 245488525153235995976785570314944762114 8823966624757271506 1455728903 PVmB)cEQ/0',gssb_commit_addr,'',gssb_fss_get_sun,'',-6,6.31075382232666
