Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Command.5,Parameters.5,Command.6,Parameters.6,Command.7,Parameters.7,Command.8,Parameters.8,Command.9,Parameters.9,Command.10,Parameters.10,Command.11,Parameters.11,Command.12,Parameters.12,Command.13,Parameters.13,Command.14,Parameters.14,Command.15,Parameters.15,Command.16,Parameters.16,Command.17,Parameters.17,Command.18,Parameters.18,Command.19,Parameters.19,Command.20,Parameters.20,Command.21,Parameters.21,Command.22,Parameters.22,Command.23,Parameters.23,Command.24,Parameters.24,Command.25,Parameters.25,Command.26,Parameters.26,Command.27,Parameters.27,Command.28,Parameters.28,Command.29,Parameters.29,Command.30,Parameters.30,Command.31,Parameters.31,Command.32,Parameters.32,Command.33,Parameters.33,Command.34,Parameters.34,Command.35,Parameters.35,Command.36,Parameters.36,Command.37,Parameters.37,Command.38,Parameters.38,Command.39,Parameters.39,Command.40,Parameters.40,Command.41,Parameters.41,Command.42,Parameters.42,Command.43,Parameters.43,Command.44,Parameters.44,Command.45,Parameters.45,Command.46,Parameters.46,Command.47,Parameters.47,Command.48,Parameters.48,Command.49,Parameters.49,Exit Code,Total Time
tm_get_last,'5722659734671414970',fp_set_cmd_dt,'802616195 1933953552 -1794823797 D C/e*1p_',obc_get_time,'113833201',obc_ident,'',help,'',gssb_fss_set_config,'36806376',eps_get_hk,'',obc_reset_wdt,'',tm_parse_status,'',fp_set_cmd_unix,'-1583008359 -1917179087 -1704935704 _ w',tm_send_from,'8947896512126085226 14430417035920463316 408887302657960236',obc_update_tle,'',obc_prop_tle,'2991524754527310032',obc_get_time,'1020188828',set_state,'12728107978782749905 6950931767701622518 334128192',obc_prop_tle,'-5561203326853596749',eps_hard_reset,'',fp_set_cmd_unix,'1740161673 267840099 1387596746  L)cr/F]|\',com_send_tc,'658457441 V=Z@iL',gssb_reset,'',fp_set_cmd_unix,'1629690496 121886072 725684451 JA 'G(_vha',gssb_get_burn_config,'',com_send_data,'',obc_set_pwm_freq,'631268835 29342037925114885044219943276496693002',fp_test_params,'2072288761 7Fig -127905731',gssb_get_burn_config,'',tm_send_last,'1886997804135034152 189611015570168975',gssb_get_version,'',fp_del_cmd,'-343975430 485789080 -459176525 -1987235417 754500712 -117203550',fp_test_params,'583909829  -371293863',com_send_cmd,'1588923462 ;$1'}qk~>',eps_set_heater,'815510272 1631226808',com_send_cmd,'536309723 ',obc_get_sensors,'',obc_set_tle,'1340320031 ',com_debug,'',com_set_node,'79330929',com_debug,'',gssb_get_sun,'',gssb_fss_get_temp,'',fp_show,'',gssb_get_uuid,'',tm_send_status,'1170375695',fp_set_cmd_unix,"'248810274 -990167300 -1530082651 -s.,5@d]41 Oqze'",gssb_antenna_release,'1766613192 -1308274004 -1789176826 -679402118',fp_show,'',obc_prop_tle,'7577325106124605018',fp_del_cmd_unix,'-1447514857',com_send_cmd,'676438228 oF;',obc_prop_tle,'3916493163733461539',-6,6.262202978134155
fp_reset,'',gssb_select,'-1318642889',obc_ident,'',gssb_msp_get_temp,'',drp_clear_gnd_wdt,'',eps_hard_reset,'',drp_ebf,'-492626097',fp_set_cmd_unix,'102335404 -779016325 2031864557 ^4]H-v|Y*- n',fp_reset,'',fp_del_cmd,'1290604466 1344830379 1796324774 -1373999483 -283165203 1683977283',rw_get_speed,'',fp_del_cmd,'2055507256 -378408792 1662660497 -724475530 -1594291062 -562780042',fp_reset,'',fp_del_cmd_unix,'400246468',gssb_arm_manual,'-832335090',set_state,'17023550111102692485 4611659366258920732 -893333430',rw_get_current,'',init_dummy_sensor,'',drp_test_system_vars,'',obc_pwm_pwr,'-236882889',gssb_get_temp,'',gssb_pwr,'391881702 -1472684705',eps_hard_reset,'',obc_pwm_pwr,'2129247757',gssb_get_temp,'',gssb_get_sun,'',gssb_arm_manual,'1044260600',fp_show,'',eps_hard_reset,'',com_send_cmd,'202609982 i51B',gssb_get_model,'',gssb_get_status,'',fp_set_cmd_unix,'-1949148257 952749115 -153051851 4'DHSA !q6?',com_send_data,'U',init_dummy_sensor,'',gssb_fss_set_config,'-1522473033',gssb_get_model,'',com_ping,'1813506017',eps_update_status,'',gssb_set_addr,'246038737',drp_clear_gnd_wdt,'',eps_set_heater,'-279433530 -1416735956',gssb_update_status,'',fp_show,'',obc_update_status,'',drp_set_var,'505329612 571016740',gssb_arm_manual,'-1654255752',obc_ident,'',drp_add_hrs_alive,'727715307',obc_set_pwm_freq,'-468497814 -189979952584202358983312305224200445018',-11,6.78597617149353
drp_set_var,'193048763 -574340702',obc_set_tle,"'678500426 ""oy'",gssb_get_status,'',rw_get_current,'',com_reset_wdt,'-881802947',tm_send_from,'5319530004987584382 4021084542959496618 13965379953880391103',rw_get_current,'',drp_ebf,'-1789623468',com_set_config,' oUFo#a>b;',com_set_config,' $RP\fE',init_dummy_sensor,'',rw_get_speed,'',drp_set_deployed,'1447744554',gssb_reset,'',gssb_fss_get_sun,'',tm_send_status,'1165002952',set_state,'13070596424986297477 4867435527672749254 -219071863',gssb_msp_get_temp,'',gssb_antenna_release,'-835959344 68622063 1126991891 -491269631',obc_set_pwm_freq,'-1436058428 -165081078076566871834648935366325706256',tm_send_last,'13393163380586010253 13982130761755272128',gssb_get_status,'',obc_ident,'',gssb_get_burn_config,'',tm_send_last,'8164317916518032558 1808037981542624699',drp_clear_gnd_wdt,'',obc_set_tle,'392558737 ',obc_get_time,'-483912925',gssb_antenna_release,'-1163177629 1351141863 455197666 -877296474',fp_set_cmd,"'-1009459724 -1674608999 -1564786022 2074087345 523951892 -433895843 -5266426 209137218 e&(kv"" x@QDjJMod'",gssb_msp_get_temp,'',obc_pwm_pwr,'-1042365239',eps_get_config,'',gssb_msp_get_temp,'',gssb_get_sun,'',com_get_config,'HZWGnZ{',drp_ebf,'-725698657',gssb_fss_commit_config,'',test,"'""G['",fp_del_cmd_unix,'-1957160122',eps_update_status,'',gssb_fss_get_sun,'',gssb_reset,'',obc_set_pwm_freq,'-2082597505 281930963191179716069054797723848002817',com_send_cmd,'346053717 `~ZL=fA',gssb_fss_get_sun,'',obc_update_status,'',obc_debug,'-689747521',drp_set_var,'-1751081378 420948290',gssb_burn,'',-6,7.750611782073975
com_reset_wdt,'1900338721',gssb_set_burn_config,'233999246 1245683449 1152256231 1297457903 396238892 2122685533 -1269461383',fp_test_params,'-1657641145 5jm=[4YP -1301037611',gssb_get_sun,'',gssb_get_status,'',eps_set_heater,'727766592 1940534780',gssb_reset,'',obc_get_time,'-575060825',gssb_get_sun,'',obc_get_mem,'',init_dummy_sensor,'',obc_prop_tle,'-3753389217536046591',gssb_fss_set_config,'-940714675',tm_send_status,'-1985188846',test,'#xU',gssb_set_burn_config,'1963574533 1518611619 -1731826070 16272649 977355484 1160400412 -485539976',obc_get_mem,'',gssb_get_uuid,'',tm_send_status,'2088041430',obc_update_status,'',tm_send_last,'2543564215638627318 7574770443900406537',obc_get_time,'-1099145762',gssb_fss_get_sun,'',obc_update_status,'',init_dummy_sensor,'',com_send_data,"'CV,'",gssb_get_temp,'',obc_reset_wdt,'',fp_set_cmd_dt,"'962762738 -1310995789 1478031062 (K/,')Q gI.vBT~'",com_update_status,'',fp_set_cmd,'-1958383792 -372819079 -1903322298 29405357 -1528122151 -479413136 -1742713771 -443950888 NHj^9:u j9f',drp_set_var,'-1674549168 -1652893006',obc_update_status,'',rw_set_speed,'-1130773513 831256489',tm_send_last,'8579003506945369693 17396093797238183556',gssb_msp_cal_temp,'1041787256 1331319014',gssb_get_model,'',rw_set_speed,'1840268322 -2075032063',obc_get_time,'-95957550',gssb_fss_commit_config,'',gssb_fss_commit_config,'',com_ping,'-1975398187',gssb_burn,'',fp_reset,'',fp_set_cmd,'1753667178 495707824 49793542 389094631 -233976024 1053262188 -262318134 433341718 m 1sR\',set_state,'17059295328775471022 7037083927344828103 -1230748060',gssb_arm_manual,'-2034233184',set_state,'12046950733844232707 9144454010337197371 -1295541792',gssb_antenna_release,'1445296192 -1138624511 -709765250 -1457025506',com_ping,'2053393856',-6,7.3355724811553955
com_set_config,'.`rhZ <M:j?dL',com_get_node,'',com_send_rpt,'-1123585367 pD](&ccu',tm_parse_status,'',obc_ident,'',drp_clear_gnd_wdt,'',com_update_status,'',init_dummy_sensor,'',com_update_status,'',drp_set_var,'911170894 -1257602627',com_send_rpt,'566715953 =nqx1',com_set_config,' 9fi~;',fp_del_cmd,'-1284608010 445705577 336403405 -216168250 -538712008 1873804490',obc_set_pwm_duty,'-1484125993 441226148',rw_get_current,'',gssb_unlock_config,'-1631579192',obc_debug,'-836676184',obc_prop_tle,'2047337553113529745',com_set_node,'2125061355',gssb_unlock_config,'-278853369',gssb_fss_commit_config,'',gssb_set_burn_config,'1791808339 1366772443 -1192055819 -404920344 -498181816 -858249364 -159689399',com_reset_wdt,'396094448',gssb_arm_auto,'447427315',com_send_cmd,'-626756126 J',com_get_config,'d<z%w<B',obc_pwm_pwr,'-38555992',tm_get_last,'10300541065283601278',com_update_status,'',gssb_set_burn_config,'1431628802 78463735 1587166869 1381535641 -116997939 -1337196574 563599517',tm_parse_status,'',com_get_config,'1#ca':XuU',gssb_arm_auto,'-962546111',rw_get_speed,'',fp_del_cmd,'-734234318 1315462726 1491928314 1224014164 1116739393 121322796',gssb_fss_set_config,'-2067148846',set_state,'12092528253214996271 18297817384266044441 234545414',gssb_get_burn_config,'',gssb_fss_get_sun,'',gssb_fss_get_sun,'',eps_hard_reset,'',gssb_get_status,'',obc_get_tle,'',obc_update_tle,'',gssb_pwr,'-1750294017 1434636640',gssb_reset,'',obc_update_status,'',tm_send_status,'1997720889',gssb_get_temp_int,'',gssb_msp_get_temp,'',-11,7.0845136642456055
eps_set_heater,'1096611699 -191462546',fp_del_cmd,'-1516115426 -543439647 -1944897249 -1912433179 -1588740371 -784191791',test,'/',com_reset_wdt,'-667412540',gssb_set_burn_config,'1338345903 664399791 1151802748 -936189604 1492845624 1624940667 914474200',obc_debug,'2129790336',gssb_pwr,'174436522 671633637',gssb_get_status,'',gssb_fss_set_config,'-1696789043',fp_set_cmd_unix,'-1483341165 1747111065 1194276250  F8S[',gssb_get_model,'',gssb_get_uuid,'',tm_get_last,'2380534016405991686',fp_set_cmd_dt,'-1642287408 1115507335 -1055127854 QAp+:\ 'Ri5x',tm_get_last,'5941545918053698292',gssb_scan,'355544169 2002273162',com_send_cmd,"'1357411901 zU)z]H2,oW'",com_set_node,'-163056850',com_send_cmd,"'151324327 NMW,O@'",com_get_config,'$',rw_get_speed,'',obc_reset_wdt,'',gssb_arm_manual,'-585735105',gssb_get_temp_int,'',fp_set_cmd_dt,'276577064 -1219805548 902660241 zD1M6T #9mFj?',tm_send_status,'-607007201',fp_reset,'',com_update_status,'',rw_set_speed,'1738303660 -146635128',gssb_get_temp_int,'',gssb_fss_get_sun,'',fp_show,'',gssb_arm_manual,'1297934129',gssb_commit_addr,'',gssb_antenna_release,'-302755536 -932202659 1052268573 -297122449',obc_pwm_pwr,'-1924343250',rw_set_speed,'680759064 2133455397',drp_ebf,'993708965',fp_set_cmd_dt,'140200982 -949335754 -263129277 4je?7L XGCO~<_k',drp_ebf,'1656295087',fp_test_params,'599267473 Ze 1786310365',drp_set_deployed,'-1732885064',rw_set_speed,'-1229746475 -1396141191',obc_get_time,'-1199693219',gssb_set_burn_config,'1137933888 -284422506 -1563702874 -780719477 2019809522 -1558446165 -1334070734',drp_ebf,'-1014801285',drp_add_hrs_alive,'1888928579',gssb_arm_auto,'1103781662',help,'',drp_test_system_vars,'',-6,6.269654512405396
obc_get_mem,'',obc_set_pwm_freq,'459226255 -54342478164022856987189312754433267051',gssb_burn,'',test,'Bb8TDT^',gssb_select,'-1113692221',obc_get_tle,'',obc_ident,'',gssb_fss_get_temp,'',gssb_get_version,'',obc_update_status,'',obc_get_sensors,'',gssb_select,'589843308',tm_send_all,'7280029298316815040 5582222296151495747',obc_set_pwm_duty,'925490832 959181497',rw_get_current,'',obc_ident,'',fp_del_cmd,'-2032683021 255205197 1480473296 -834351564 -1508115249 -1515141214',gssb_get_uuid,'',tm_send_last,'3223805435275246733 4197874010529764082',fp_set_cmd_dt,'1505669817 -361273552 1548838223 j YA8+@%*',gssb_update_status,'',fp_reset,'',com_send_tc,'-1602070048 x`oxF2/Gc',com_send_cmd,"'-1360844480 r\,b!N2Jd*'",eps_get_config,'',drp_add_hrs_alive,'-1575435822',eps_update_status,'',fp_del_cmd_unix,'-82448352',com_send_rpt,'-221606951 `:BW@63u',gssb_unlock_config,'-108912137',fp_show,'',gssb_antenna_release,'337134840 1124364820 137112951 603560193',obc_reset_wdt,'',fp_reset,'',obc_get_mem,'',gssb_get_status,'',com_send_rpt,'-1828150015 v[U6R{',gssb_select,'-351144964',gssb_msp_cal_temp,'1441562955 -732266162',tm_send_all,'7077195156308663364 16659910128551070039',com_send_tc,'-1540779699 )xItg!<',obc_set_pwm_duty,'-1896426320 -397949996',tm_send_from,'9345103810986463202 222184776094943681 7410882679493755663',tm_get_last,'2003525874173935778',gssb_scan,'-1544804745 -534628936',gssb_select,'-2074997256',gssb_get_burn_config,'',gssb_get_burn_config,'',gssb_reset,'',gssb_get_version,'',-11,7.717512607574463
drp_test_system_vars,'',drp_set_var,'482217444 -2062715495',gssb_select,'-1002831118',rw_get_speed,'',obc_get_tle,'',test,'/',rw_set_speed,'200288671 -740705635',gssb_antenna_release,'770520700 -1816389201 -114096876 -1498494604',gssb_fss_set_config,'-1110376870',com_send_cmd,'1382377110 ',gssb_fss_get_sun,'',obc_prop_tle,'2040393400019802341',eps_update_status,'',obc_set_pwm_duty,'-1118514389 1986437375',gssb_arm_manual,'-2119687173',gssb_msp_cal_temp,'781307895 1611227144',obc_set_tle,'-1295116368 bi]',gssb_arm_manual,'-976685538',obc_ident,'',gssb_arm_auto,'1097152500',gssb_get_model,'',tm_parse_status,'',obc_set_pwm_duty,'-1787772102 1140631931',drp_set_deployed,'650080128',gssb_get_sun,'',com_ping,'-1662581571',fp_set_cmd_dt,"'-655780972 152767325 -1265458733 FSk"" &S_+^1_wNq'",tm_send_status,'-100861365',obc_debug,'442383406',tm_send_from,'6330417216946356256 4765953671824838462 16673991629878977167',eps_hard_reset,'',fp_del_cmd,'-1222436125 -845814550 -446860905 1523073686 588336897 -1735452946',obc_update_tle,'',gssb_scan,'-1189131355 -1128207676',fp_set_cmd_dt,'-401583836 696172984 -507006196 aez$!# b9vX.dxJ~',drp_clear_gnd_wdt,'',com_set_config,'P bMvD',fp_test_params,'-625459765  -945791156',com_send_rpt,'1418715495 H2=/',gssb_get_burn_config,'',gssb_get_temp_int,'',eps_get_config,'',obc_ident,'',gssb_arm_manual,'-1828569713',gssb_commit_addr,'',eps_update_status,'',com_send_tc,'82835249 v0j1^',obc_get_sensors,'',gssb_fss_get_temp,'',com_send_rpt,'-65026251 %g3t{',-6,14.371052980422974
obc_prop_tle,'1280497933777385980',obc_pwm_pwr,'989317893',gssb_get_burn_config,'',com_ping,'-1753640888',obc_update_status,'',obc_update_status,'',obc_ident,'',tm_set_ack,'3725568956558840679 14802387249340913894',tm_send_last,'17935253493513653553 9418470103245181098',fp_del_cmd_unix,'1106634501',com_get_config,']%d',gssb_get_temp_int,'',gssb_pwr,'1816239844 -470996193',fp_set_cmd,'1265417113 -724470840 -113226869 380719627 -771209706 1901267430 1911093218 1914302506 N ?}',gssb_fss_commit_config,'',rw_set_speed,'1838288850 756043359',gssb_set_addr,'-1651954476',fp_set_cmd_unix,'-919659615 -2051269560 1758423587 g]+.`hOmu P',obc_set_pwm_freq,'483546761 198397477804817992296644198832866107636',gssb_get_uuid,'',rw_get_speed,'',drp_set_var,'-1213843081 -2109583258',fp_test_params,'-578342195 Z -2145349209',fp_reset,'',obc_get_time,'-1619403507',eps_hard_reset,'',rw_get_current,'',fp_show,'',drp_test_system_vars,'',com_send_rpt,'348800021 |<-MiTXaKe',obc_reset_wdt,'',com_set_node,'-744329883',obc_set_pwm_duty,'-41555196 256374599',tm_set_ack,'45053932918054465 775944451125041968',test,'N@_l',gssb_get_model,'',obc_reset_wdt,'',test,'s:@niW',gssb_unlock_config,'-1912036922',com_send_rpt,'-64236443 w',com_debug,'',gssb_antenna_release,'-23840297 -1927352760 -1135772978 -1626427127',fp_test_params,'-1478548199 0t -813103980',fp_del_cmd,'1465095177 951363052 861090234 2076291007 729820674 -1351976688',obc_pwm_pwr,'-1611810073',obc_reset_wdt,'',gssb_select,'1416246597',drp_test_system_vars,'',fp_del_cmd,'842515240 808972745 -2130888042 734057089 656224742 -206359877',drp_clear_gnd_wdt,'',-6,9.838760375976562
gssb_get_status,'',drp_get_vars,'',tm_parse_status,'',gssb_get_model,'',com_update_status,'',rw_set_speed,'872823704 -1269039980',gssb_get_sun,'',fp_test_params,'-472771988 z#0/P#G\5 -1628463779',fp_show,'',obc_set_pwm_duty,'1445268275 -769693500',tm_send_status,'727040405',drp_ebf,'-1419919881',gssb_update_status,'',set_state,'8491539520701506950 4634648806339717187 -1309388980',eps_set_heater,'-1988612322 -1438624143',init_dummy_sensor,'',gssb_update_status,'',obc_debug,'137996159',gssb_fss_set_config,'-1391766609',obc_update_status,'',gssb_get_temp_int,'',com_send_cmd,'-1983725141 4|@67W1]',gssb_commit_addr,'',eps_get_hk,'',obc_update_tle,'',obc_reset_wdt,'',com_reset_wdt,'-1527179963',gssb_get_temp_int,'',com_set_node,'-111488423',fp_set_cmd_dt,"'1988989713 -723660080 658974572 >a'gn9 [""^xgnm'",obc_update_tle,'',gssb_set_burn_config,'1456819241 -427372156 -2030686924 -1252437151 1342506981 -1811662581 1573722426',gssb_get_model,'',tm_send_all,'16425709130206465812 14688236341390260739',drp_set_var,'-2012776211 -159449650',drp_get_vars,'',rw_get_current,'',tm_get_last,'2633096748858835108',obc_prop_tle,'-9176184828024674635',gssb_msp_cal_temp,'-2022510980 -79570036',gssb_set_addr,'1513301184',gssb_pwr,'-482019500 -194105042',fp_set_cmd,'-2140610621 -610178770 -869808590 -1837508177 1757958361 1082672225 -867230965 -992361253 r?exY kH>F0iX8y9',com_reset_wdt,'-1587554279',com_get_config,'E*uL}$\5I',drp_test_system_vars,'',gssb_arm_manual,'-1313113730',gssb_commit_addr,'',com_ping,'1987525950',gssb_select,'-337369229',-6,7.310366868972777
gssb_set_addr,'15041821',gssb_arm_manual,'-1803348041',fp_set_cmd_unix,'598115431 1634281951 -1179714270 2O n',obc_pwm_pwr,'937192339',fp_set_cmd_unix,'1530860652 -483305357 1420094317 b@%6'!.k ]V&',gssb_scan,'-699139492 -2073429066',rw_get_speed,'',obc_get_tle,'',com_send_tc,'-1741620830 6ThE',drp_test_system_vars,'',obc_set_pwm_freq,'950141023 -295586401431826707371696520598070557638',eps_set_heater,'583418432 1223889736',tm_send_from,'12005537894653321273 18012591045467859488 16312343524496709544',gssb_pwr,'-968996200 1904474944',tm_parse_status,'',com_update_status,'',obc_get_sensors,'',fp_test_params,'-951574746 c=-G?]^xl 2116435227',gssb_arm_manual,'1415669092',drp_add_hrs_alive,'50473860',help,'',gssb_update_status,'',obc_update_tle,'',drp_set_deployed,'-1984919151',gssb_pwr,'1431991027 -922803919',com_ping,'-970228233',obc_ident,'',fp_set_cmd_dt,'-580922077 784951726 -1848378612 'JUi \nS6%y0`J`',gssb_fss_get_temp,'',fp_test_params,'1727429887 $HRi6Z{# 965083388',tm_send_from,'6255395621173821592 4410590552938162814 15493729188337848591',obc_update_tle,'',obc_reset_wdt,'',obc_ident,'',gssb_update_status,'',gssb_get_version,'',gssb_reset,'',obc_ident,'',com_ping,'-1435181269',fp_set_cmd,'1435584170 -1288867808 -2075288083 -2102139147 721848716 -1539597547 856608091 935885190 z?x**%Nrc b4!g&0',com_send_data,'B',tm_send_all,'16932064747140919189 11133800427669340876',fp_reset,'',com_send_tc,'-1855073022 ;49~KJ7/',gssb_unlock_config,'-1192120937',gssb_select,'-1238160548',obc_update_tle,'',eps_get_config,'',drp_set_var,'2062302387 1903814199',eps_update_status,'',-6,6.3254828453063965
rw_set_speed,'-303574098 -735579286',obc_ident,'',gssb_arm_manual,'1021201564',drp_get_vars,'',rw_get_current,'',eps_set_heater,'544735070 1167699785',fp_test_params,'-31661482 a; 352384777',fp_del_cmd_unix,'652542720',tm_set_ack,'6421340868195181650 1325047075066740035',gssb_pwr,'-79464006 -666910792',obc_get_tle,'',tm_set_ack,'4599082648271621604 10717658381010962856',eps_hard_reset,'',gssb_get_model,'',gssb_get_temp,'',fp_reset,'',com_get_node,'',gssb_set_burn_config,'430806236 -2037604946 -941493150 -966881065 947180580 701913015 -840963473',gssb_get_status,'',obc_get_time,'-1271823369',obc_update_status,'',drp_test_system_vars,'',drp_get_vars,'',gssb_set_addr,'-1628279577',help,'',gssb_get_model,'',help,'',com_reset_wdt,'2045114679',gssb_get_uuid,'',set_state,'5662907134727913457 7699527099633488158 -1696836238',obc_update_status,'',fp_reset,'',gssb_reset,'',com_reset_wdt,'-482512145',gssb_fss_set_config,'-2006149293',com_send_data,'@0jt\zi?1',eps_set_heater,'-220011305 -1622769807',set_state,'4510735757158075356 2949798682892147104 -1739910397',obc_set_tle,'-1579065532 O;P/`P74!',drp_ebf,'-885808475',com_send_rpt,'-329320475 C8?wty2}',fp_del_cmd_unix,'1688728432',drp_test_system_vars,'',drp_set_deployed,'-655370084',gssb_get_temp,'',com_send_tc,'1006261612 N',gssb_scan,'-292611703 -2019556314',eps_get_config,'',com_get_node,'',obc_ident,'',-6,6.782850980758668
